index,l1,l2,l3,l4,l5,l6
200,0.2198179,0.190425,0.49377975,0.20044497,0.34254923,0.37055707
201,0.22475263,0.19698489,0.5164896,0.1961275,0.35853693,0.39002532
202,0.20739506,0.16912022,0.45848045,0.29817903,0.29341745,0.36281306
203,0.21127518,0.1877837,0.5010503,0.1933041,0.32028562,0.34741282
204,0.21751481,0.18620293,0.49357733,0.20212728,0.33665732,0.36864656
205,0.24898292,0.19177236,0.5404473,0.25005075,0.3442439,0.38357818
206,0.21084413,0.15726998,0.44184726,0.3428974,0.26355913,0.34369668
207,0.22070348,0.18683729,0.51203716,0.19580211,0.34248102,0.37426218
208,0.21713825,0.19073403,0.48682445,0.19647223,0.33241063,0.3557545
209,0.20993745,0.17392808,0.47234988,0.24526289,0.28966096,0.344841
210,0.2159961,0.18297364,0.48805156,0.24383888,0.32613102,0.36711177
211,0.22312336,0.18663609,0.5159684,0.22219996,0.3395002,0.3772326
212,0.2106682,0.18373041,0.4913404,0.20946889,0.310087,0.34425694
213,0.20951991,0.1756172,0.4661237,0.28433102,0.30752447,0.3610724
214,0.21064998,0.1878353,0.4879223,0.20352425,0.32857937,0.3515779
215,0.20523113,0.17491229,0.49905378,0.19201887,0.28877568,0.32500854
216,0.21919543,0.19373383,0.49077672,0.19706409,0.35181013,0.376569
217,0.24725494,0.18366715,0.52442276,0.28564942,0.33801255,0.3854827
218,0.2069934,0.17862056,0.4706216,0.24484843,0.32545295,0.36764795
219,0.21594393,0.18845697,0.48755342,0.20236057,0.33147275,0.356812
220,0.26028162,0.22873014,0.76772267,0.24020055,0.4651822,0.596124
221,0.21786276,0.2185049,0.73064023,0.18233813,0.40308842,0.47756818
222,0.22754197,0.22806805,0.68608975,0.17206565,0.42586398,0.51867247
223,0.24003011,0.23194246,0.74901944,0.21208407,0.44789672,0.54866457
224,0.26337045,0.22782813,0.7403194,0.22655454,0.45284194,0.584131
225,0.26722544,0.23274156,0.749895,0.21412884,0.46195436,0.5904032
226,0.25706795,0.224162,0.75482196,0.25998846,0.45674613,0.58167875
227,0.25474387,0.22173253,0.7292539,0.2474272,0.44499072,0.5731934
228,0.227038,0.22483817,0.7185383,0.18172666,0.4294666,0.5200909
229,0.2238464,0.22337323,0.72979915,0.17552592,0.42303097,0.50639784
230,0.23189172,0.22647838,0.7095784,0.17686296,0.42567325,0.5196293
231,0.24657024,0.2152536,0.6998691,0.23416592,0.4338663,0.56473243
232,0.23376381,0.22475825,0.714938,0.17768562,0.4226992,0.52401364
233,0.26126504,0.23237406,0.7673679,0.22053102,0.4682118,0.5958842
234,0.22540829,0.22778612,0.6993846,0.16688982,0.42350465,0.51138604
235,0.2437151,0.22706822,0.7330653,0.19098985,0.43717048,0.5497998
236,0.24954335,0.22874077,0.761057,0.24288988,0.45250717,0.57327634
237,0.25341144,0.22743547,0.75588536,0.22614056,0.45368338,0.5865409
238,0.23392375,0.2239542,0.60404426,0.21811974,0.43859804,0.51445127
239,0.27868903,0.25596032,0.677526,0.18746239,0.4341486,0.52050334
240,0.24547482,0.24280423,0.66785246,0.18823607,0.4156549,0.5049488
241,0.23597312,0.23529956,0.61949074,0.20943089,0.43470258,0.4970863
242,0.2746171,0.23962753,0.7206526,0.17133519,0.42599386,0.5172608
243,0.2463597,0.24029745,0.63131833,0.20565726,0.45269126,0.5335041
244,0.23085521,0.23080648,0.5881685,0.20817192,0.43315524,0.4874256
245,0.25427166,0.24438238,0.66628325,0.1967396,0.4139613,0.52523154
246,0.26201034,0.23994415,0.6469612,0.19444776,0.42691466,0.52554816
247,0.23667482,0.22215709,0.5869445,0.22680998,0.3818527,0.40317276
248,0.2483905,0.23901834,0.67969835,0.18717463,0.45548674,0.5354443
249,0.25093356,0.23886272,0.63332593,0.19437876,0.44210467,0.544247
250,0.23399587,0.2356869,0.6337973,0.21418557,0.4510088,0.50718135
251,0.26922286,0.24034296,0.67627823,0.15838008,0.43032694,0.4974929
252,0.26249263,0.2407727,0.67048085,0.17807554,0.4466654,0.51707554
253,0.2222933,0.22007896,0.58672225,0.22683662,0.42177257,0.4519129
254,0.24782768,0.23159716,0.7162469,0.1928077,0.43331337,0.53803
255,0.24138887,0.224452,0.5879507,0.24086116,0.41786447,0.43894443
256,0.2669801,0.238403,0.65135825,0.17384928,0.40314388,0.48567963
257,0.2505908,0.24089846,0.6443788,0.20007432,0.42556143,0.5052577
258,0.23777884,0.2140508,0.5738909,0.20370138,0.39584798,0.45295882
259,0.22676493,0.21850786,0.5807304,0.21926424,0.40374655,0.43434414
260,0.26448596,0.24071085,0.6632837,0.17174341,0.41975522,0.50147855
261,0.2526378,0.24264888,0.65948045,0.19008608,0.46605182,0.54523396
262,0.23389356,0.21193989,0.5647398,0.2269635,0.41546044,0.45705166
263,0.23824008,0.23169975,0.6011957,0.20427637,0.44349104,0.540183
264,0.2599876,0.22908151,0.6438271,0.18785346,0.4252231,0.50870407
265,0.23895961,0.2334346,0.6021174,0.20337346,0.41652602,0.48820084
266,0.26827723,0.24105117,0.6668721,0.1599879,0.41910294,0.4926798
267,0.26000687,0.22738706,0.6232775,0.18262176,0.40991345,0.47177783
268,0.26711363,0.242064,0.75358987,0.19879189,0.43821916,0.54319173
269,0.277664,0.24979685,0.68478924,0.19395839,0.44862774,0.54428446
