Region label,Raw Surface label,Region name,Hemi,Centroid R,Centroid A,Centroid S,DK Region Name,DK Overlap Ratio,AAL Region Name,AAL Overlap Ratio,HarvardOxford Region Name,HarvardOxford Overlap Ratio,MICCAI Region Name,MICCAI Overlap Ratio,BN Region Name,BN Overlap Ratio,Glasser Region Name,Glasser Overlap Ratio,Schaefer200 Region Name,Schaefer200 Overlap Ratio,Schaefer400 Region Name,Schaefer400 Overlap Ratio,Yeo7 Region Name,Yeo7 Overlap Ratio,Yeo17 Region Name,Yeo17 Overlap Ratio,lobe,info
259,7364961,lh__fusiform__22,Left,-29,-77,-16,lh_fusiform,1,Fusiform_L,0.904040404,Occipital Fusiform Gyrus_Left,1.0,Left_OFuG,0.964646465,L_A37mv,0.97979798,L_V4_ROI,0.666666667,7Networks_LH_Vis_2,1.0,7Networks_LH_Vis_5,0.702020202,Left Visual,1.0,Left Visual Central (Visual A),1.0,Temporal,
260,8295422,lh__fusiform__23,Left,-33,-29,-22,lh_fusiform,1,Fusiform_L,0.948275862,"Temporal Fusiform Cortex, posterior division_Left",0.857758621,Left_FuG,0.663793103,L_A20rv,0.728448276,L_TF_ROI,0.0,7Networks_LH_Default_PHC_1,0.849137931,7Networks_LH_Vis_2,0.88362069,Left Dorsal Attention,0.487068966,Left Default C,0.939655172,Temporal,
261,1082181,lh__fusiform__24,Left,-41,-23,-19,lh_fusiform,1,Temporal_Inf_L,0.791304348,"Temporal Fusiform Cortex, posterior division_Left",0.739130435,Left_FuG,0.304347826,L_A20rv,0.739130435,L_TF_ROI,1.0,7Networks_LH_Limbic_TempPole_2,0.47826087,7Networks_LH_Limbic_TempPole_5,0.47826087,Left Limbic,0.47826087,Left Limbic A,0.47826087,Temporal,
262,13150970,lh__fusiform__25,Left,-28,-64,-8,lh_fusiform,1,Fusiform_L,0.710280374,Occipital Fusiform Gyrus_Left,0.598130841,Left_OFuG,0.168224299,L_A37mv,0.878504673,L_VMV3_ROI,0.962616822,7Networks_LH_Vis_1,0.672897196,7Networks_LH_Vis_5,0.588785047,Left Visual,0.953271028,Left Visual Central (Visual A),0.953271028,Temporal,
263,3435362,lh__fusiform__26,Left,-35,-48,-20,lh_fusiform,1,Fusiform_L,0.994029851,Temporal Occipital Fusiform Cortex_Left,1.0,Left_FuG,0.820895522,L_A37mv,0.656716418,L_VVC_ROI,0.501492537,7Networks_LH_DorsAttn_Post_1,0.994029851,7Networks_LH_Vis_1,0.910447761,Left Visual,0.994029851,Left Visual Central (Visual A),0.925373134,Temporal,
264,13346118,lh__fusiform__27,Left,-27,-38,-19,lh_fusiform,1,Fusiform_L,0.993939394,"Temporal Fusiform Cortex, posterior division_Left",0.963636364,Left_FuG,0.975757576,L_A20rv,0.963636364,L_VVC_ROI,0.539393939,7Networks_LH_Default_PHC_1,0.533333333,7Networks_LH_Vis_1,0.606060606,Left Visual,0.987878788,Left Default C,0.618181818,Temporal,
265,3691037,lh__fusiform__28,Left,-43,-67,-12,lh_fusiform,1,Occipital_Inf_L,0.779552716,"Lateral Occipital Cortex, inferior division_Left",0.626198083,Left_IOG,0.271565495,L_A37lv,0.974440895,L_PH_ROI,1.0,7Networks_LH_Vis_3,0.881789137,7Networks_LH_Vis_8,0.846645367,Left Visual,0.795527157,Left Dorsal Attention A,0.830670927,Temporal,
266,1148873,lh__fusiform__29,Left,-35,-26,-24,lh_fusiform,1,Fusiform_L,0.885572139,"Temporal Fusiform Cortex, posterior division_Left",0.910447761,Left_FuG,0.741293532,L_A20rv,0.656716418,L_TF_ROI,0.248756219,7Networks_LH_Default_PHC_1,0.686567164,7Networks_LH_Vis_2,0.741293532,Left Limbic,0.76119403,Left Default C,0.597014925,Temporal,
267,267648,lh__fusiform__30,Left,-30,-45,-10,lh_fusiform,1,Fusiform_L,0.58490566,Temporal Occipital Fusiform Cortex_Left,0.537735849,Left_FuG,0.566037736,L_A20rv,0.773584906,L_VMV2_ROI,0.009433962,7Networks_LH_Vis_1,0.679245283,7Networks_LH_Vis_2,0.58490566,Left Visual,0.990566038,Left Dorsal Attention A,0.632075472,Temporal,
268,5098929,lh__fusiform__31,Left,-33,-15,-33,lh_fusiform,1,Fusiform_L,0.994285714,"Temporal Fusiform Cortex, posterior division_Left",0.594285714,Left_FuG,0.805714286,L_A20rv,0.794285714,L_PeEc_ROI,0.794285714,7Networks_LH_Limbic_TempPole_2,0.817142857,7Networks_LH_Limbic_TempPole_3,0.474285714,Left Limbic,1.0,Left Limbic A,1.0,Temporal,
269,5456571,lh__fusiform__32,Left,-41,-39,-22,lh_fusiform,1,Temporal_Inf_L,0.52360515,"Temporal Fusiform Cortex, posterior division_Left",0.974248927,Left_FuG,0.836909871,L_A37lv,0.974248927,L_TF_ROI,0.536480687,7Networks_LH_DorsAttn_Post_1,0.995708155,7Networks_LH_DorsAttn_Post_1,0.708154506,Left Dorsal Attention,0.909871245,Left Dorsal Attention A,0.875536481,Temporal,
