label,labbr,annotation,Region No.,Cortical lobe,lobe,Cortical region (Level 1),Cortical region (Level 2),Full name
453,CL,"caudal lateral, belt region of the auditory cortex",74.0,auditory,"Temporal Lobe
",BELT,LB,"caudal lateral, belt region of the auditory cortex"
457,TPO,sts dorsal bank area,29.0,temporal,"Temporal Lobe
",TPO,TPO,sts dorsal bank area
458,TEa,sts ventral bank area ,46.0,temporal,"Temporal Lobe
",TE,TEa,sts ventral bank area
463,IPa,area IPa (sts fundus),33.0,temporal,"Temporal Lobe
",IPa,IPa,area IPa (sts fundus)
464,ELr,"entorhinal cortex, lateral division (rostral part)",51.0,temporal,"Temporal Lobe
",ENTORHINAL,ELr,"entorhinal cortex, lateral division (rostral part)"
467,ELc,"entorhinal cortex, lateral division (caudal part)",52.0,temporal,"Temporal Lobe
",ENTORHINAL,ELc,"entorhinal cortex, lateral division (caudal part)"
470,V2?,visual area 2 (or transition area ?),,,,,,
472,V2_or_v23b?,visual area 2 or subregion of posterior cingulate cortex?,,,,,,
482,30,retrosplenial cortex ,98.0,cingulate,Limbic Lobe,RETROSPLENIAL,30,retrosplenial cortex
483,24b',subregion of anterior cingulate cortex  ,95.0,cingulate,Limbic Lobe,24,24b',subregion of anterior cingulate cortex
484,24a,subregion of anterior cingulate cortex,91.0,cingulate,Limbic Lobe,24,24a,subregion of anterior cingulate cortex
485,24c',subregion of anterior cingulate cortex,96.0,cingulate,Limbic Lobe,24,24c',subregion of anterior cingulate cortex
486,14c,orbito-medial prefrontal area (gyrus rectus),133.0,prefrontal,Frontal Lobe,14,14c,orbito-medial prefrontal area (gyrus rectus)
491,TTv,ventral tenia tectum ,,,,,,
492,EO,"entorhinal cortex, olfactory division",49.0,temporal,"Temporal Lobe
",ENTORHINAL,EO,"entorhinal cortex, olfactory division"
493,TH,area TH of the parahippocampal cortex,56.0,temporal,"Temporal Lobe
",PARAHIPPOCAMPAL,TH,area TH of the parahippocampal cortex
516,Iapl,posterolateral agranular insula area  ,129.0,prefrontal,Frontal Lobe,Agranular insula,Iapl,posterolateral agranular insula area
522,Ri,retroinsula,82.0,insular,Insula Cortex,INSULA,Ri,retroinsula
